Risk of Ruin: 1.00, UPRO Daily Fail 1 / 50000 
44.	     63	    165	    225	    326	    429	    541	    693	    796	   1038	   1133	   2056	      0	
45.	     63	    165	    226	    327	    431	    543	    695	    800	   1055	   1141	   2090	      0	
46.	     63	    165	    227	    328	    432	    545	    697	    805	   1072	   1149	   2126	      0	
47.	     63	    166	    228	    329	    434	    548	    698	    811	   1089	   1158	   2162	      0	
48.	     64	    166	    229	    330	    436	    551	    700	    817	   1094	   1166	   2198	      0	
49.	     64	    167	    229	    331	    438	    554	    704	    822	   1098	   1175	   2235	      0	
50.	     64	    167	    230	    332	    440	    557	    707	    828	   1103	   1184	   2273	      0	
51.	     64	    167	    231	    333	    442	    560	    711	    833	   1107	   1192	   2311	      0	
52.	     64	    168	    232	    334	    443	    563	    715	    839	   1112	   1201	   2350	      0	
53.	     64	    168	    233	    336	    445	    566	    719	    845	   1116	   1210	   2390	      0	
54.	     65	    169	    233	    337	    447	    569	    723	    851	   1121	   1225	   2430	      0	
55.	     65	    169	    234	    338	    449	    572	    726	    856	   1126	   1239	   2471	      0	
56.	     65	    169	    235	    340	    451	    575	    730	    862	   1130	   1254	   2513	      0	
57.	     65	    170	    236	    341	    453	    578	    734	    868	   1135	   1269	   2555	      0	
58.	     65	    170	    237	    342	    455	    581	    738	    874	   1140	   1284	   2598	      0	
59.	     65	    171	    238	    343	    457	    584	    742	    880	   1145	   1300	   2642	      0	
60.	     66	    171	    238	    345	    459	    587	    746	    886	   1149	   1315	   2686	      0	
61.	     66	    171	    239	    346	    460	    591	    750	    893	   1154	   1331	   2732	      0	
62.	     66	    172	    240	    347	    462	    594	    754	    900	   1159	   1365	   2778	      0	
63.	     66	    172	    241	    349	    464	    597	    758	    906	   1164	   1400	   2825	      0	
64.	     66	    173	    242	    350	    467	    600	    762	    913	   1168	   1436	   2872	      0	
65.	     67	    173	    243	    351	    469	    602	    766	    920	   1173	   1473	   2921	      0	
66.	     67	    174	    244	    353	    471	    605	    770	    926	   1178	   1511	   2970	      0	
67.	     67	    174	    244	    354	    473	    607	    773	    933	   1183	   1550	   3020	      0	
